,Ticker,bounceback score,close,date,lowest price,num of weeks,open,volume
3954,TECK,2,31.36,20091009,24.36,5,26.41,36659748
3955,TECK,3,38.32,20100219,31.96,2,37.14,23106424
3956,TECK,2,35.66,20100723,30.91,7,31.68,30033543
3957,TECK,3,36.37,20111014,29.19,2,33.65,22435635
3958,TECK,0,25.69,20161125,22.07,136,23.59,26682712
3959,TECK,0,20.5,20161021,17.72,107,19.26,52839725
3960,TECK,0,16.99,20160902,14.57,91,15.92,36337523
3961,TECK,4,13.25,20141219,11.07,1,11.21,30630624
3962,TECK,0,8.47,20160318,7.09,34,7.34,47845888
3963,TECK,4,4.07,20151224,3.29,1,3.39,26130799
3964,TECK,4,3.72,20160122,3.1,1,3.26,45456964
3965,TECK,4,3.72,20160122,3.1,1,3.26,45456964
3966,TECK,4,15.93,20160729,13.58,1,13.45,46839056
3967,TECK,3,20.5,20161021,17.48,2,19.26,52839725
3968,TECK,2,23.52,20170407,19.87,4,22.7,30919761
3969,FSM,0,3.76,20101029,2.945,147,3.31,602600
3970,FSM,4,2.3285,20080411,2.01,1,2.095,120500
3971,FSM,4,0.62,20081107,0.39,1,0.422,1444300
3972,FSM,4,0.62,20081107,0.39,1,0.422,1444300
3973,FSM,3,0.6415,20090102,0.469,2,0.503,260200
3974,FSM,3,1.0346,20090821,0.8912,2,0.9452,296100
3975,FSM,2,2.7,20100108,1.95,4,2.052,1212100
3976,FSM,4,2.7,20100108,1.99,1,2.052,1212100
3977,FSM,2,2.26,20100618,1.92,4,1.992,654500
3978,FSM,2,4.34,20101203,3.76,5,4.0255,844700
3979,FSM,3,4.9,20110218,3.9268,3,4.3003,563200
3980,FSM,2,5.8918,20110708,4.52,4,5.39,404800
3981,FSM,3,5.8918,20110708,4.8371,3,5.39,404800
3982,FSM,2,6.49,20111028,5.03,4,5.5,941400
3983,FSM,2,4.11,20120810,3.45,6,3.83,1005500
3984,FSM,2,4.11,20120810,3.45,6,3.83,1005500
3985,FSM,3,4.73,20120824,3.78,3,4.29,1439600
3986,FSM,0,4.6,20140214,3.86,50,4.21,2054800
3987,FSM,2,3.54,20130607,2.96,7,3.25,1391700
3988,FSM,3,3.17,20130531,2.62,2,2.91,1583200
3989,FSM,2,3.71,20130726,3.02,5,3.6,1125000
3990,FSM,3,2.98,20140110,2.59,3,2.91,663100
3991,FSM,4,4.46,20141010,3.72,1,3.75,1502500
3992,FSM,3,4.43,20141114,3.49,2,3.83,2268500
3993,FSM,2,3.93,20150515,3.41,4,3.79,2820200
3994,FSM,0,3.52,20160212,3.01,30,3.3,2822300
3995,FSM,2,2.7,20151009,2.17,4,2.4,2472400
3996,FSM,2,3.24,20160205,2.25,5,2.55,2219800
3997,FSM,3,7.61,20160701,6.22,2,6.34,6485800
3998,FSM,3,6.3,20170106,5.1,2,5.73,7474500
3999,FSM,2,5.11,20170623,4.25,7,4.68,8499119
4000,PAGP,4,26.76,20170714,4.47,1,26.5,4577000
4001,PAGP,0,33.62,20161118,26.65,75,12.08,7147468
4002,PAGP,0,12.48,20160923,10.67,44,11.5,13776920
4003,PAGP,4,9.89,20151224,7.5,1,7.42,30509020
4004,PAGP,2,8.74,20160318,7.51,6,7.77,18221048
4005,IX,4,77.7,20170714,26.01,1,78.24,196474
4006,IX,3,81.03,20080404,62.75,3,67.87,169300
4007,IX,4,69.13,20080912,56.11,1,62.57,153100
4008,IX,0,55.52,20110218,47.59,118,55.2,60900
4009,IX,1,24.71,20090417,21.44,10,24.41,230300
4010,IX,2,14.91,20090320,12.82,4,11.04,469600
4011,IX,2,37.21,20091106,31.82,7,33.5,351600
4012,IX,2,74.66,20151016,62.97,6,72.44,165091
4013,FCAU,2,10.8,20110429,8.38,6,10.1,700
4014,FCAU,1,5.5,20120120,4.5,8,4.9,200
4015,FCAU,0,6.21,20130125,5.1,39,5.83,11500
4016,FCAU,3,11.46,20141031,8.7,3,9.34,30420315
4017,FCAU,3,12.71,20141128,10.94,3,12.6,4159143
4018,FCAU,3,15.67,20151009,12.98,2,14.0,29309745
4019,FCAU,3,7.74,20160304,6.11,3,6.86,30951060
4020,WU,4,18.61,20160624,6.76,1,19.31,17439918
4021,WU,0,17.47,20090424,13.49,23,14.7,64361500
4022,WU,1,18.25,20100430,15.78,9,17.87,82990700
4023,WU,1,19.11,20120914,15.97,15,18.15,24187400
4024,MTN,4,55.81,20121102,17.93,1,56.75,599100
4025,MTN,0,48.0,20100423,40.51,94,43.73,1927900
4026,MTN,4,21.75,20081128,16.56,1,17.0,1100700
4027,MTN,4,21.75,20081128,16.56,1,17.0,1100700
4028,MTN,3,30.0,20090605,25.32,2,27.99,3196900
4029,MTN,2,39.56,20100312,33.31,5,36.8,2325900
4030,MTN,2,39.56,20100312,33.31,5,36.8,2325900
4031,MTN,1,46.48,20111028,40.4,11,43.62,1539700
4032,MTN,1,41.03,20111014,34.76,8,40.0,1257700
4033,LC,3,21.95,20150213,18.77,2,20.39,8002607
4034,LC,3,19.21,20150529,16.23,3,18.63,11531282
4035,LC,2,14.7,20151009,12.01,5,13.32,18989330
4036,LC,3,8.88,20160219,7.0,2,7.18,40959232
4037,LC,3,4.81,20160527,3.51,2,4.3,111238318
4038,LC,1,5.4,20160812,4.26,9,4.78,92624875
4039,LC,3,6.14,20161111,4.7,2,5.98,84571831
4040,LC,4,6.14,20161111,5.13,1,5.98,84571831
4041,MATX,4,29.15,20171201,4.26,1,28.01,1006754
4042,MATX,0,32.98,20090911,28.5,46,29.85,1611600
4043,MATX,2,22.45,20090403,18.79,5,19.29,3665600
4044,MATX,1,32.98,20090911,26.3,8,29.85,1611600
4045,MATX,0,51.83,20120427,44.83,46,50.8,3437100
4046,MATX,0,26.77,20130111,22.69,19,25.84,1374000
4047,MPV,0,14.51,20110211,12.5,151,14.26,18750
4048,MPV,0,14.35,20110114,12.25,131,13.9,53400
4049,MPV,3,12.15,20080801,10.46,2,11.28,37500
